11:23:00.320 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
11:23:00.321 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:23:00.321 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.76]
11:23:00.455 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring embedded WebApplicationContext
11:23:00.455 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1853 ms
11:23:00.636 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:23:00.683 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
11:23:00.852 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
11:23:00.967 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:23:01.311 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:23:01.326 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
11:23:01.564 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11:23:01.573 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:23:02.121 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7e251ea7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2b8454f, org.springframework.security.web.context.SecurityContextPersistenceFilter@6d229f9c, org.springframework.security.web.header.HeaderWriterFilter@6bc8a32a, org.springframework.security.web.authentication.logout.LogoutFilter@2e577dd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6c43c801, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5a0dcfdf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4a947f9, org.springframework.security.web.session.SessionManagementFilter@3a4fd328, org.springframework.security.web.access.ExceptionTranslationFilter@71367a5f, org.springframework.security.web.access.intercept.AuthorizationFilter@138ded89]
11:23:02.124 WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
11:23:02.125 INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/resources/**']
11:23:02.263 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
11:23:02.490 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
11:23:02.510 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path '/api/v1'
11:23:02.550 INFO  com.test.api.todo.TodoApplication - Started TodoApplication in 4.617 seconds (JVM running for 5.25)
11:23:04.613 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:23:04.614 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:23:04.616 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
11:31:46.637 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
11:31:46.662 INFO  com.test.api.todo.TodoApplication - Starting TodoApplication using Java 11.0.16.1 on DESKTOP-4CURANV with PID 8108 (C:\Users\wpghk\IdeaProjects\todo\build\classes\java\main started by wpghk in C:\Users\wpghk\IdeaProjects\todo)
11:31:46.663 INFO  com.test.api.todo.TodoApplication - The following 1 profile is active: "local"
11:31:46.715 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
